feature_set,n_trees,max_depth_cfg,max_features,internal_nodes,leaves,max_depth,features_used,n_features_used,test_accuracy,test_f1,test_recall,test_precision,test_fpr,test_fp,test_fn,train_accuracy
no_track,1,5,sqrt,10,11,5,"dt_id,dt_id_dev,dt_ratio_q6,hd_dev,burst,pl_violation,pl_popcount,bus_rate",8,0.9953343553497997,0.9870411165876878,0.9996361807539619,0.9747594899726622,0.005595586449381802,2419,34,0.9950167187184978
no_track,1,5,all,17,18,5,"dt_id,dt_ratio_q6,hd,hd_dev,burst,pl_popcount,id_rate",7,0.9951669779632455,0.9865865696775181,0.9999464971697003,0.973578929821637,0.00586622870427129,2536,5,0.9950623670966491
no_track,1,6,sqrt,13,14,6,"dt_id,dt_id_dev,dt_ratio_q6,hd,hd_dev,pl_violation,pl_popcount,id_rate,bus_rate",9,0.9953343553497997,0.9870411165876878,0.9996361807539619,0.9747594899726622,0.005595586449381802,2419,34,0.9950167187184978
no_track,1,6,all,29,30,6,"dt_id,hd,hd_dev,burst,pl_violation,pl_popcount,id_rate",7,0.9951669779632455,0.9865865696775181,0.9999464971697003,0.973578929821637,0.00586622870427129,2536,5,0.9950623670966491
no_track,1,8,sqrt,37,38,8,"dt_id,dt_id_dev,dt_ratio_q6,hd,hd_dev,burst,pl_violation,pl_popcount,id_rate,bus_rate",10,0.9953343553497997,0.9870411165876878,0.9996361807539619,0.9747594899726622,0.005595586449381802,2419,34,0.9950167187184978
no_track,1,8,all,72,73,8,"dt_id,hd,hd_dev,burst,pl_violation,pl_popcount,id_rate",7,0.9951669779632455,0.9865865696775181,0.9999464971697003,0.973578929821637,0.00586622870427129,2536,5,0.9950623670966491
no_track,3,2,sqrt,9,12,2,"dt_id,dt_id_dev,dt_ratio_q6,hd,id_rate,bus_rate",6,0.9940409846355167,0.9835080091171811,0.9996361807539619,0.9678919994197973,0.007168549982072842,3099,34,0.9946058833151373
no_track,3,2,all,9,12,2,"dt_id,dt_id_dev,dt_ratio_q6,hd_dev,id_rate",5,0.9953857097752198,0.9871858526742798,0.9999464971697003,0.9747467898903712,0.005600212812713247,2421,5,0.9950699751596742
no_track,3,3,sqrt,17,20,3,"dt_id,dt_id_dev,dt_ratio_q6,hd,hd_dev,pl_popcount,bus_rate",7,0.9953343553497997,0.9870411165876878,0.9996361807539619,0.9747594899726622,0.005595586449381802,2419,34,0.9950167187184978
no_track,3,3,all,18,21,3,"dt_id,dt_id_dev,dt_ratio_q6,hd,hd_dev,id_rate",6,0.9953857097752198,0.9871858526742798,0.9999464971697003,0.9747467898903712,0.005600212812713247,2421,5,0.9950699751596742
no_track,3,4,sqrt,27,30,4,"dt_id,dt_id_dev,dt_ratio_q6,hd,hd_dev,burst,pl_violation,pl_popcount,id_rate,bus_rate",10,0.9953343553497997,0.9870411165876878,0.9996361807539619,0.9747594899726622,0.005595586449381802,2419,34,0.9950167187184978
no_track,3,4,all,31,34,4,"dt_id,dt_id_dev,dt_ratio_q6,hd,hd_dev,burst,id_rate,bus_rate",8,0.9953857097752198,0.9871858526742798,0.9999464971697003,0.9747467898903712,0.005600212812713247,2421,5,0.9950699751596742
no_track,3,5,sqrt,43,46,5,"dt_id,dt_id_dev,dt_ratio_q6,hd,hd_dev,burst,pl_violation,pl_popcount,id_rate,bus_rate",10,0.9953343553497997,0.9870411165876878,0.9996361807539619,0.9747594899726622,0.005595586449381802,2419,34,0.9950167187184978
no_track,3,5,all,50,53,5,"dt_id,dt_id_dev,dt_ratio_q6,hd,hd_dev,burst,pl_violation,pl_popcount,id_rate,bus_rate",10,0.9953857097752198,0.9871858526742798,0.9999464971697003,0.9747467898903712,0.005600212812713247,2421,5,0.9950699751596742
no_track,3,6,sqrt,61,64,6,"dt_id,dt_id_dev,dt_ratio_q6,hd,hd_dev,burst,pl_violation,pl_popcount,id_rate,bus_rate",10,0.9953343553497997,0.9870411165876878,0.9996361807539619,0.9747594899726622,0.005595586449381802,2419,34,0.9950167187184978
no_track,3,6,all,83,86,6,"dt_id,dt_id_dev,dt_ratio_q6,hd,hd_dev,burst,pl_violation,pl_popcount,id_rate,bus_rate",10,0.9953857097752198,0.9871858526742798,0.9999464971697003,0.9747467898903712,0.005600212812713247,2421,5,0.9950699751596742
no_track,3,8,sqrt,150,153,8,"dt_id,dt_id_dev,dt_ratio_q6,hd,hd_dev,burst,pl_violation,pl_popcount,id_rate,bus_rate",10,0.9953343553497997,0.9870411165876878,0.9996361807539619,0.9747594899726622,0.005595586449381802,2419,34,0.9950167187184978
